parameter_name,Vitreous
parameter_id,UCDLA_EYE_083_001
gene_symbol,Kif24
pvalue,0.3226249
analysis_id,3z7f906is04yhcv
mouse_life_stage,Early adult
gene_accession_id,MGI:1918345
mouse_strain,C57BL
