gene_symbol,F2
gene_accession_id,MGI:88380
parameter_id,JAX_OFD_016_001
mouse_strain,C57BL
pvalue,0.3602751
analysis_id,o2kl01cdg8b1942
parameter_name,Center permanence time
mouse_life_stage,Early adult
