analysis_id,k5ez9s57afx3647
parameter_name,KLRG1+ CD4- NKT cells - % of CD4- NKT cells
mouse_life_stage,Early adult
gene_accession_id,MGI:1923029
pvalue,0.08618129
mouse_strain,C57BL
gene_symbol,Dnaaf9
parameter_id,MGP_IMM_028_001
