analysis_id,04fur2o58jolsdd
pvalue,0.2240642
parameter_name,CD8+ alpha beta T cell percentage
mouse_life_stage,Early adult
gene_symbol,Hrnr
mouse_strain,C57BL
parameter_id,MGP_PBI_004_001
gene_accession_id,MGI:3046938
