analysis_id,96u89it6g444qh8
Parameter_id,JAX_OFD_013_001
gene_accession_id,MGI:95457
parameter_name,Periphery average speed
mouse_life_stage,E12.5
pvalue,0.8225072
mouse_strain,C57BL
Gene_symbol,Mecom
