analysis_id,r3nz4eg5s96636k
parameter_name,Triglycerides
pvalue,0.2973701
gene_symbol,Ola1
mouse_life_stage,Early adult
gene_accession_id,MGI:1914309
mouse_strain,C57BL
parameter_id,HMGULA_CBC_017_001
