gene_symbol,F2
mouse_life_stage,Early adult
pvalue,0.3717234
parameter_name,Weight
parameter_id,CCP_LFO_001_001
mouse_strain,C57BL
gene_accession_id,MGI:88380
analysis_id,14t88p819m0j93l
