gene_symbol,Cd52
parameter_id,IMPC_OFD_021_001
analysis_id,om772y943y9if3z
pvalue,0.81346
mouse_strain,C57BL
gene_accession_id,MGI:1346088
mouse_life_stage,Early adult
parameter_name,Number of rears - total
