parameter_name,Percent time in dark
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,r24l32nk8vi9b99
pvalue,0.9023113
gene_accession_id,MGI:3650254
parameter_id,JAX_LDT_008_001
gene_symbol,Zfp683
