analysis_id,4235551yh629re7
mouse_strain,C57BL
parameter_id,IMPC_EYE_024_001
parameter_name,Retinal Blood Vessels
gene_symbol,Gpbp1l1
gene_accession_id,MGI:1924360
pvalue,0.4941491
mouse_life_stage,Early adult
