gene_symbol,Eprs1
pvalue,0.08376782
mouse_strain,C57BL
parameter_name,CD4+ alpha beta T cell percentage
gene_accession_id,MGI:97838
analysis_id,92adz7tbw9myn98
parameter_id,MGP_PBI_003_001
mouse_life_stage,E9.5
