gene_symbol,Golm2
gene_accession_id,MGI:2443129
parameter_name,Vibrissae - presence
mouse_strain,C57BL
analysis_id,7r75ka2vo8v25yq
mouse_life_stage,Early adult
parameter_id,JAXLA_CSD_023_001
pvalue,0.674361
