gene_symbol,Toporsl
mouse_life_stage,Early adult
parameter_id,MGP_IMM_033_001
analysis_id,28fj7640a571al6
parameter_name,Total NK cells - % of CD45+
mouse_strain,C57BL
gene_accession_id,MGI:1915524
pvalue,0.1860234
