gene_symbol,Mov10
mouse_strain,C57BL
parameter_id,HMGULA_CBC_009_001
gene_accession_id,MGI:97054
parameter_name,Calcium
mouse_life_stage,Early adult
pvalue,0.4196601
analysis_id,7x9u54a26u58857
