analysis_id,868030sg04tw9ej
mouse_life_stage,Early adult
gene_accession_id,MGI:3046938
parameter_name,Weight
mouse_strain,C57BL
pvalue,0.7840656
parameter_id,M-G-P_005_001_001
gene_symbol,Hrnr
