gene_symbol,Eprs1
pvalue,0.3309162
parameter_id,IMPC_CBC_006_001
mouse_strain,C57BL
parameter_name,Total protein
analysis_id,7686p551nhlrn47
gene_accession_id,MGI:97838
mouse_life_stage,E9.5
