parameter_name,Lean/Body weight
mouse_life_stage,Early adult
pvalue,0.9629063
mouse_strain,C57BL
parameter_id,ESLIM_005_001_702
analysis_id,50yg759to62313u
gene_accession_id,MGI:3522699
gene_symbol,Trpa1
