parameter_id,HRWLLA_CBC_014_001
pvalue,0.798814
mouse_strain,C57BL
analysis_id,41qt7ky41nw587y
parameter_name,Alkaline phosphatase
gene_accession_id,MGI:1339969
mouse_life_stage,Early adult
gene_symbol,Gja10
