analysis_id,i39zxf1dk6g44o8
pvalue,0.2401634
parameter_name,30kHz-evoked ABR Threshold
parameter_id,IMPC_ABR_012_001
gene_accession_id,MGI:1925049
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Sla2
