analysis_id,so141j7cvou3d8y
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Periphery average speed
pvalue,0.6830458
gene_symbol,Rgs20
gene_accession_id,MGI:1929866
parameter_id,ESLIM_007_001_009
