parameter_name,Eosinophil cell count
analysis_id,9xqa5a71k3f21bq
gene_symbol,Mgst2
mouse_life_stage,Early adult
pvalue,0.6552194
mouse_strain,C57BL
parameter_id,IMPC_HEM_036_001
gene_accession_id,MGI:2448481
