analysis_id,d4pz878399pngc4
mouse_strain,C57BL
gene_symbol,Orc2
parameter_name,Total cholesterol
pvalue,0.6025043
parameter_id,IMPC_CBC_015_001
mouse_life_stage,E9.5
gene_accession_id,MGI:1328306
