gene_symbol,Dnaaf9
pvalue,0.4398237
parameter_name,Stroke Volume
analysis_id,91509q809ag2g99
mouse_life_stage,Early adult
parameter_id,IMPC_ECH_003_001
gene_accession_id,MGI:1923029
mouse_strain,C57BL
