analysis_id,l3m7a1zvo37xt0l
mouse_life_stage,E15.5
mouse_strain,C57BL
parameter_name,Ly6Clow monocyte number
pvalue,0.2097841
parameter_id,MGP_PBI_038_001
gene_symbol,Fgb
gene_accession_id,MGI:99501
