gene_symbol,Cdin1
parameter_name,Number of centre entries
parameter_id,ESLIM_007_001_015
pvalue,0.8737598
analysis_id,3u8390h4ca7071n
mouse_life_stage,E9.5
gene_accession_id,MGI:3026886
mouse_strain,C57BL
