gene_symbol,Eprs1
gene_accession_id,MGI:97838
mouse_strain,C57BL
parameter_id,IMPC_CBC_014_001
parameter_name,Alkaline phosphatase
pvalue,0.5057135
analysis_id,26017ks9m47k28o
mouse_life_stage,E12.5
