analysis_id,8i2p423577p61o4
mouse_strain,C57BL
parameter_name,Corneal vascularization
mouse_life_stage,Early adult
gene_accession_id,MGI:88071
parameter_id,IMPC_EYE_009_001
gene_symbol,Arnt
pvalue,0.2469184
