analysis_id,3a870m5sj76977x
mouse_life_stage,E12.5
mouse_strain,C57BL
gene_symbol,Bcs1l
pvalue,0.5915497
gene_accession_id,MGI:1914071
parameter_id,MGP_BMI_019_001
parameter_name,T cells - % of CD45+
