pvalue,3.275988e-07
gene_accession_id,MGI:2140475
parameter_id,JAXLA_GRS_010_001
mouse_life_stage,Late adult
mouse_strain,C57BL
gene_symbol,AU040320
parameter_name,Forelimb grip strength normalised against body weight
analysis_id,95s0ewl35gks3u8
