gene_symbol,Zc2hc1a
pvalue,0.9289321
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1914556
analysis_id,y8lz36k44y6wp5o
parameter_name,Alpha beta T cell percentage
parameter_id,MGP_PBI_002_001
