analysis_id,51ji4bc2cud1721
gene_symbol,Hrnr
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,ICS_FEA_019_001
parameter_name,% Freezing duration pre-cue-2
gene_accession_id,MGI:3046938
pvalue,0.3045172
