gene_symbol,Lamb3
parameter_name,Corneal vascularization
parameter_id,IMPC_EYE_009_001
analysis_id,52j688cg4q87oj9
mouse_life_stage,Early adult
gene_accession_id,MGI:99915
mouse_strain,C57BL
pvalue,0.5220917
