analysis_id,3s3916ri98j9e39
parameter_id,TCPLA_XRY_033_001
mouse_life_stage,E9.5
parameter_name,Tibia length
gene_symbol,Dmap1
gene_accession_id,MGI:1913483
mouse_strain,C57BL
pvalue,0.6307465
