parameter_name,Joints
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1914256
gene_symbol,Cisd2
pvalue,0.8396716
analysis_id,hc61k23sk231eg9
parameter_id,IMPC_XRY_027_001
