pvalue,0.9307249
mouse_strain,C57BL
parameter_name,Head morphology
Gene_symbol,Cisd2
Gene_accession_id,MGI:1914256
mouse_life_stage,Early adult
analysis_id,64y7021vw42oy2c
parameter_id,MGP_CSD_064_001
