analysis_id,33m6h614595fj86
gene_symbol,Bmi1
pvalue,0.9632656
parameter_id,IMPC_ECG_002_001
parameter_name,HR
gene_accession_id,MGI:88174
mouse_strain,C57BL
mouse_life_stage,E12.5
