gene_symbol,Tatdn3
analysis_id,7ia4k5kk73cd32u
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Percentage center time
pvalue,0.3581026
parameter_id,IMPC_OFD_022_001
gene_accession_id,MGI:1916222
