analysis_id,9tbj530n5g19629
mouse_strain,129SV
gene_symbol,Ddx27
parameter_name,Hemoglobin
pvalue,0.2410364
parameter_id,IMPC_HEM_003_001
mouse_life_stage,Early adult
gene_accession_id,MGI:2385884
