gene_symbol,Cmpk1
parameter_id,IMPC_OFD_016_001
pvalue,0.2024056
analysis_id,8943r32p2q5zlnf
mouse_life_stage,Early adult
parameter_name,Center permanence time
mouse_strain,C57BL
gene_accession_id,MGI:1913838
