analysis_id,t702p41992m0ft8
mouse_life_stage,E15.5
parameter_id,IMPC_CSD_012_001
parameter_name,Coat - hair distribution - head
mouse_strain,C57BL
gene_symbol,Mapkap1
pvalue,0.8208827
gene_accession_id,MGI:2444554
