analysis_id,0m970vm87ocw8qa
gene_symbol,Tnfsf10
parameter_name,Snout size
pvalue,0.263452
gene_accession_id,MGI:107414
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_028_001
mouse_strain,C57BL
