gene_symbol,Sla2
analysis_id,nqwk5q7182c15q3
mouse_life_stage,Early adult
parameter_id,MGP_MLN_032_001
pvalue,0.3111301
mouse_strain,C57BL
parameter_name,Effector NK cells - % of NK cells
gene_accession_id,MGI:1925049
