analysis_id,845tf51uptcdyhj
gene_accession_id,MGI:1919935
pvalue,0.972041
parameter_name,Gait
mouse_strain,C57BL
gene_symbol,Dnajc6
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_033_001
