Analysis_id,7og1h16dhp95h75
parameter_id,IMPC_ACS_006_001
Gene_accession_id,MGI:1913838
Mouse_strain,C57BL
Gene_symbol,Cmpk1
Pvalue,0.6664005
parameter_name,Response amplitude - S
Mouse_life_stage,Early adult
