parameter_id,IMPC_XRY_007_001
parameter_name,Clavicle
analysis_id,o6yaa9636b1cssv
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:96757
gene_symbol,Lcn2
pvalue,0.7161115
