parameter_name,Weight
gene_symbol,Dnajc6
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.3066513
gene_accession_id,MGI:1919935
analysis_id,867w2ae6908i818
parameter_id,CCP_LFO_001_001
