parameter_id,UCD_OWT_003_001
mouse_strain,C57BL
pvalue,0.24045
analysis_id,1294um831u66icl
mouse_life_stage,E15.5
gene_symbol,Fgb
parameter_name,Spleen weight
gene_accession_id,MGI:99501
