gene_symbol,Sema6c
mouse_life_stage,Early adult
parameter_id,MGP_PBI_019_001
parameter_name,Neutrophil percentage
mouse_strain,C57BL
pvalue,0.6815251
gene_accession_id,MGI:1338032
analysis_id,9867psa65ev0102
