analysis_id,a1wwyp5z8ekm0o5
pvalue,0.2527454
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,HRWLLA_CBC_014_001
gene_symbol,Slc30a4
gene_accession_id,MGI:1345282
parameter_name,Alkaline phosphatase
