analysis_id,22wblb768d53456
gene_accession_id,MGI:3046938
mouse_life_stage,Early adult
parameter_id,IMPC_OWT_004_001
gene_symbol,Hrnr
parameter_name,Right kidney weight
mouse_strain,C57BL
pvalue,0.8091258
