parameter_name,Respiration Rate
gene_accession_id,MGI:2673000
analysis_id,8gajasp127wxi8n
parameter_id,IMPC_ECH_018_001
mouse_life_stage,Early adult
gene_symbol,Trim46
pvalue,0.5576083
mouse_strain,C57BL
