parameter_id,JAX_OFD_013_001
analysis_id,1gt75pda366ku3r
gene_symbol,Ahctf1
parameter_name,Periphery average speed
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.9197652
gene_accession_id,MGI:1915033
