gene_symbol,Uckl1
parameter_id,IMPC_ABR_006_001
parameter_name,12kHz-evoked ABR Threshold
mouse_life_stage,Early adult
analysis_id,ddi6d7028o8gqfa
mouse_strain,C57BL
pvalue,0.409151
gene_accession_id,MGI:1915806
