parameter_id,M-G-P_012_001_005
parameter_name,Body Weight
analysis_id,spd9tm3t830hc21
pvalue,0.3101333
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:88479
gene_symbol,Cpa3
