analysis_id,1a0k79rocnx3h89
gene_symbol,Slc45a3
mouse_life_stage,Early adult
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
gene_accession_id,MGI:1922082
mouse_strain,C57BL
pvalue,0.4134655
parameter_id,MGP_IMM_007_001
