analysis_id,7004i4w7a14t2l9
parameter_id,IMPC_IMM_034_001
gene_accession_id,MGI:2140475
gene_symbol,AU040320
mouse_strain,C57BL
parameter_name,CD8 CD44-CD62L+ T cells
pvalue,0.91808
mouse_life_stage,Early adult
