analysis_id,9u9yr9727j98xb1
parameter_name,Total protein
pvalue,0.7684893
gene_symbol,Sdcbp2
gene_accession_id,MGI:2385156
mouse_strain,C57BL
parameter_id,IMPC_CBC_006_001
mouse_life_stage,Early adult
