parameter_id,ESLIM_016_001_002
pvalue,0.09708147
gene_symbol,Ahctf1
mouse_strain,C57BL
analysis_id,20ku3l4nsk1488c
mouse_life_stage,Early adult
parameter_name,Red blood cell count
gene_accession_id,MGI:1915033
