parameter_name,Hematocrit
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_004_001
mouse_strain,C57BL
analysis_id,3hu7z0i3pd7wnh6
gene_accession_id,MGI:1914556
pvalue,0.6670441
gene_symbol,Zc2hc1a
