parameter_name,Eosinophil number
analysis_id,ti0o008a596xc82
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
parameter_id,MGP_PBI_040_001
pvalue,0.5554001
gene_symbol,Frmpd1
gene_accession_id,MGI:2446274
