gene_symbol,Tox
parameter_name,Weight
mouse_life_stage,Early adult
analysis_id,b829473xp019312
gene_accession_id,MGI:2181659
pvalue,0.5920015
mouse_strain,C57BL
parameter_id,M-G-P_005_001_001
