analysis_id,211y1d47f3ex30v
gene_symbol,Ahcy
pvalue,0.1391029
gene_accession_id,MGI:87968
parameter_id,IMPC_CBC_018_001
mouse_strain,C57BL
parameter_name,Glucose
mouse_life_stage,E12.5
