parameter_name,Head coat/hair presence
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.9629199
parameter_id,MGP_CSD_015_001
analysis_id,0420070uu492191
gene_symbol,Bmp7
gene_accession_id,MGI:103302
