parameter_name,Monocytes
gene_accession_id,MGI:1913576
pvalue,0.4404578
analysis_id,t9720xr9j4bg709
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_051_001
mouse_strain,C57BL
gene_symbol,Dnajc5b
